Title,Link,Source,Published,Datetime,Category,img,Scraped_At
'Open the f***ing strait': Trump threatens Iran with ‘Power Plant Day’ if Hormuz not reopened,https://news.google.com/read/CBMi8AFBVV95cUxQNlZMS0dlRnEzZkh3NGRCRkNLMVIyZG5EaWlRWFFubzJETFpMdEc1R1BzVVZ2MDZsVEtuMkVsb0lKN1lQQjNlQnQ3SW9fWVZoQlVqb1U0d3NxRG82ZlZkSC1XZEhydzVETnV3a0RoWXVWS19FbUp3WU1JcDkyV2NZNmJPQzd2WjV0eVBMNTlvMkx4TnFpT1FjVHE0bFlkejY0bk9xTUpDeC04dTc1eXZDMGQxRXM5a3hVRjJjV0lraElqWnAyNmh1UDczZGd5VVhLR3pKaDJ5Y3dneUMzOXhsNG5IYVpIQ1VHaGZsRWJfZm7SAfYBQVVfeXFMUEJGZm1xVS1WYy1QLXdfR1U0S2M5Y3RGM1JHeFY0aWZGMXBRQW5OT2VWWjBVWjQtTG9iLWJVZXBQemdXdzIzeFR2aE9JRUpKUWhjTmdSMElMa1B1ZlVUeW5GRWl1V3dZSl9zY3JzUHJPOXd5RjUxekk3R3lZVzlncXN5T1N5UVljb1d4T3dfOUtNTTJ2TTdLbEc1cEYtSWxHQjdsSDZPcjNQMlV3LUgyRWFoQ1RlWVh4OU9LblFOTXI5SDB3R3JQMURHWjI0U2ozUVZDQS10RFZhMDdXOTE4UFhEcDhWbDlGSG9yRFRyWnYyVDRMc1VB,More,8 minutes ago,2026-04-05T12:36:16,Iran Cyber,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.firstpost.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-04-05T12:45:50.958096
Trump promises to strike Iran’s infrastructure on Tuesday if Strait of Hormuz isn’t reopened,https://news.google.com/read/CBMi3gFBVV95cUxQUnY5Y1doNXpFdm5lajhmYzVNdDdON0VfSTJyekdVUUtxQjRFMnZFSnYxZGxHX2F5UjBKeHB1RDdsRjRTWmE4WkRyd3BfeWNlTks0VU4wZmpBMTBqaE4zUHhQa3R5eDZXYkNtN215V3ozOFlFb1d6WThuTThGMWV6c1hXWS11UVJNb1hsWHhQV2p5YmdDRGhqRXhkYmlQZFdUYjVtY2NGdUdDclFfZDh3X2hsMWVQd3hfQi1UVkpvbGpkSjM1bGozMFRZaS12V0o2SWJwLVIzck9MZkx4U1E,More,9 minutes ago,2026-04-05T12:36:10,Critical Infrastructure,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.ctvnews.ca&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-04-05T12:45:50.958111
Iran’s 37-day internet blackout becomes longest ever amid US-Israel conflict,https://news.google.com/read/CBMixgFBVV95cUxPMDdHTFhDalM0a3RwRWRTQUpzSlJuR3BlUzA1ZFVpSlR0Y01EbGF5Rl9DZzVjV2NFQlVScklTVWtCWDRMRXpWYW16eGJIMzc3alczZ2JjcmVjQmw3Wnl1MDBwRGRoUERZQ2djQXJIVzk0aVhudDNhUEgyWlJiY1dUbzYwVkYwQXdCZUdwOTdhNDBCazhPWFRCZXFMa2NydGxybVJHdFhrX21tM2ZtdTd2RnpJSXJCZ21iOEc2djJDWEw2cG1FNWfSAcsBQVVfeXFMTXNaZUdETXNTSFF1bS1PRktWQVJnM3YzN1B5cjFsdW90ejJCeEo5NVBINURoeFFPRTZvZjljLWJDS2sxWG5lQVVlWFRmZ3ZrcjRoUFZOa1pOWEhMOElSMUNEQTZMUVJSX000aXhXQnUwUlgyazFrZG1mSjJZWmQtejZiR0Q3YVo2RWxTV2thVjltNHhkZlZ4UkpTQWFDMjBobEZVY1pXczlUNWJGcG5MX3RKcnllN3lGYzVjTUVjVWhncWlJV1BGeGo1X3c,More,14 minutes ago,2026-04-05T12:31:33,Middle East Cyber,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://english.mathrubhumi.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-04-05T12:45:50.958115
"Explosives found near gas pipeline connecting Serbia and Hungary, Vučić says",https://news.google.com/read/CBMirgFBVV95cUxOR25iOHRrekxQa1I0SVJ1NHZkUDMzbnpEbXZpT1dRTGNHbnJkZFRYbTZzS0s2LWZTUHJXSXlXa0FoTFN2OEdPY1NyQlRHQl84NDZUVURCakd4SzNsSmRKSHkzQl8wOF9mWlBTdnd2Nm1mRk4yajBnS2VsZnNGajdhNFlNUXFEUk1XSXpIbkd5TmpkMjJLLS0tRFp5UjhvYUtCanJhX18wQS1vd05DdlE,More,14 minutes ago,2026-04-05T12:30:06,Euronews Fresh,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.euronews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-04-05T12:45:50.958119
College Kid Brings Down a Botnet,https://news.google.com/read/CBMi_gJBVV95cUxONmxJVGJxT2FsOF9VTWRWM3FQWTJkVEZlUjZGampEQXJjbjYtelRzSHVGNDZVZDNhSTJmT1F4c2RLeTl2VmtyWVVxeS1QUS1INmxzUGVfb3pxbGd1NmdPTlFkTDVkWEtaZDRkSk52U1NydldkZkQwOGJYdS1Za3FxRXVWMHpqUmtlb1VWLVNzZEd2alROdHZSaXRUV3NmQjZPckxpWGRVclZkdHd5bHJmcHRhNW1ZWUFocDBnSTNsSlBpanJTbUMtbWdDQk9NUG1DUVpLNXdtalhkNnlRUFY5WlJhZWlJMnpuNWRuZzE0T0pYbTIycDhGd0hpUGtaXzU2Vm9nWDFoRC1TSHRfUF8tNk5zMmh3SlJMZlRvUDd6MWtwM3Z5RGFtNFhWMFZQUm11eEVFUHV3aHlOMHpTcERxN0ExVHRDMjdhZE50SnB1aXpqaHVPZ3VydFE0MmlTUm5JUE5UQS1kUm1LUzVmcm1uUy1qangtSWo2MkJCQjVn,More,29 minutes ago,2026-04-05T12:13:00,WSJ Cyber,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.wsj.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-04-05T12:45:50.958122
Cambodia says it extradited accused money laundering leader to China,https://news.google.com/read/CBMiywFBVV95cUxQTWtPUXRwMUlMVjlBVEhBd3VXWHhaUUFzQWtZc21NWFVhQURQbFFDbTRBeXdJb1lNTTZ2TF95ZlQ4N3BZYzZYa2ZyQjVGYUpiVGxXSDl4ZzNZMG0xc09zeXlQMWlzOUVDb0tyNFdTa0VXMnpnUE5nZ2w2T25SaTh1aUJIVHItQy13SkdaWE1RVUttZl9XUFNhcEYxLVAtaWlzRl8wTzFaVGtTUmd0eTVvelZUTWkzNnhYS1VwNE1aS1J1SWhjV2FQVGwybw,More,31 minutes ago,2026-04-05T12:13:00,China Cyber,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.thestar.com.my&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-04-05T12:45:50.958125
"As U.S. sanctions deadlines expire this month, exporters urge government to revive oil-rice barter trade mechanism with Iran",https://news.google.com/read/CBMiPkFVX3lxTE5faDBiWWpLa3cyS3BWYU1RQ3BrQmt2b0d4dnp0ZjRvTWZPdndZeGNzdzV0OTF3OXlCa3A3akhB,More,31 minutes ago,2026-04-05T12:12:47,The Hindu Fresh,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.thehindu.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-04-05T12:45:50.958127
Conduent Says Data Breach Bigger Than Previously Reported,https://news.google.com/read/CBMiiwFBVV95cUxQenpjYVNROEE2VF9UN244cDRIRlRXTjk1ZE1ZYmJFdk5HN3JVZ1FWQV9fN3JTU3FoeWhJNENZRHF4VGtoT2VNNjdsNjNneTZZMGE0MWNyUzlFTkhRZS1Uem5nSlRKZEI2b1c3cUdkUUVCbC1fU1ZEaXA2ZUMtRmVDam5CZjVkV1BBaDJZ,More,37 minutes ago,2026-04-05T12:07:43,Data Breach,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://thepulseofnh.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-04-05T12:45:50.958130
"After 35 Years Fighting Hackers, This Cybersecurity Legend Is Now Hacking Drones",https://news.google.com/read/CBMiuAFBVV95cUxOMllCdFlGZmdtd2RQclBJZ2pkLVBHWmNkN093UnBpRHJvc1lPbGIxandrN3JtM0VlY0FqMEhKek5BSjltTzlldURYNHo3N0t1ci1GX2xGdUtUdjU0S1YtSEtWNTNRRm1tM0hBbG02ZjE1cjd6cVBvTno2UlRLVmstYUpCbUpzQTBoTTlMQXIyVEZxRlpGQXIyaU91aUFUdUpoRjBZdnJ5dXN5MWxzeWFOM1dmQnc2UFBl0gHAAUFVX3lxTE10bS1Ja2pRNUh5WlU0U3g4TG1vQmJJSDJhRFA1NHV0X1JvcXpyR1RMeTJSTmJ5OXhKc0JVZHVrdU9lUGx4ZlNvWlg1dU45XzFqcmpXNDJ4b1J0Q0pDXzZtR21xRUFXZHM3M1FuV01SZUdWeTNzOXZwbTJvdHBjMXdhaXM0b3JVRTBNZjJaQ1FGQzZiS1RlcFpLRzF4eTdBLU1sa1J1QXBDSXNiaWFCdEZMX0laQnZIeTZHTWp1RFN0Vw,More,41 minutes ago,2026-04-05T12:04:09,Cybersecurity,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.ndtv.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-04-05T12:45:50.958133
UAE alerts public: AI phishing scams now behind 90% of cyber breaches,https://news.google.com/read/CBMipwFBVV95cUxOeDE1NVFRSGZUN0RsMUxsYjVMOG1DX05zS2F2djRxcU91YU1RNVViMmlEYTJDUDBKVjBVWXA5Q0N2Uzhmak82MDIzTFhYbi0xd2VLbG5rV29OX3V4NVZ1SmgzZTdIdzFSODcyVmV4S2xXaXRIMENSUEpydHFfVnlxTzhDVURuRU9PeEphSm5DcTUtLURIWWYyU1MtZ3F1QUFhVi1lcjFpRdIBtwFBVV95cUxNcTliY2VtcTY0WVJ2R19uQnl3ejhJYkpYc05mMzRYZlhtN2R4OEEwQ3FOUUxGRXhPSDlLMVZzR01TeHRQOHotSzBuUXYzcldKaEh4dXBDZHdtS0dURGZKeTVPQ3BTNW1YWEhiMDFhR2x5b01sRWZ6Sm10SmJkUWlxZ1B0d1d2RFdmVTRsdFZfX1FjaHMxNzRWT193elozVnl0SGR5a1JIOTFibGR4M2tXTS1zRnhsRE0,More,53 minutes ago,2026-04-05T11:52:14,Phishing,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://gulfnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-04-05T12:45:50.958136
