Title,Link,Source,Published,Category,img,Scraped_At
China to update cyber law to strengthen AI oversight,https://news.google.com/read/CBMiWEFVX3lxTE9OWHJnQmpGYWhRWGo2Z0VMX0pqVVJEeENHRm1pdmltcWJHNFZLaWNJSXowR0wyeExob0JxVW02QnVwUk1oQnRXOF9aQWZERWc4Q01iZVhEWVE?hl=en-US&gl=US&ceid=US%3Aen,chinadailyasia.com,2 hours ago,China Cyber,https://news.google.com/api/attachments/CC8iK0NnNHhUbmxXUlU4ekxUbFJUbGxOVFJDZkF4ampCU2dLTWdZTklJek1OUVU=-w200-h112-p-df-rw,2025-10-24T06:25:31.145848
Trump Administration Cuts Cyberdefense Even as Threats Grow,https://news.google.com/read/CBMie0FVX3lxTE4taWhYYVRJZTZZWUpCTU9DTmI2em5rY0NvNkhrOTVHVU9FNnF3cFFJX0VOZVpTMFBtYmV4VW83LWtZTENUazZYZzBjSE9HVG9OUHV2cnQ3eTlYT185emdEUW1fWnFlT0ZaT1F1b3FpcGRZX2tvVC1MRjJZTQ?hl=en-US&gl=US&ceid=US%3Aen,The New York Times,15 hours ago,China Cyber,https://news.google.com/api/attachments/CC8iK0NnNW9TWEJHVjB4RE5rSlpWakUzVFJDQUJSamdBeWdLTWdZQndJTDB3QVU=-w200-h112-p-df-rw,2025-10-24T06:25:31.145862
"Russia, China Will Weaponize UN Cyber Treaty, FDD Warns",https://news.google.com/read/CBMimgFBVV95cUxQTEg3NUp1dkRydXVNQXBWTXczU0dKTndoR1VQem1nNDhzRkVFRWlDS2VUYlI4WEZEREFjX0FVSHM1NXpHZmh4amFBaEpod1VFbEIzSUxybDBjVG1icHFiUmZBVDViYzRoZFl1MmozbGdWd2ZoX1hqa1QteGFhQUtKMGpJWWR3VGdvUFMtVEwxTGJfaEh5dDZrSmN3?hl=en-US&gl=US&ceid=US%3Aen,Bank Info Security,16 hours ago,China Cyber,https://news.google.com/api/attachments/CC8iK0NnNU1YMHRCTkVOdFNUZzFVakJFVFJDdUF4aklCU2dLTWdZVkVJek53UVE=-w200-h112-p-df-rw,2025-10-24T06:25:31.145865
"China-linked hackers exploit ToolShell to hit telecom, government networks globally",https://news.google.com/read/CBMivgFBVV95cUxQam9kWWd1SDAzRGFsQ2VxV292WUFrWFg4aXlCbVVMQXlvOUJLMXhMS2NxbU9HdEduX2hQQjRCTTR3SUEtaU9jQ0NtUldxVWx5X3cxZ2dXSHlabmNwMTJXWGdoTUVtaDZiRGVCcmpqdmRNOEN4dmYwUFF6TmJKMzNJemFGUGoxYmRBLWRjbEhhTnlmQkZ6VGZCYW5FVDZlM1BFVjRFUjYxNFRCVmdhQnNBeTF1STV4eUE0Q3FyOFdB?hl=en-US&gl=US&ceid=US%3Aen,Industrial Cyber,21 hours ago,China Cyber,https://news.google.com/api/attachments/CC8iJ0NnNVVTak5rT1ZSM1FsQmFWMUpmVFJDUUF4ai1CU2dLTWdNZEZTZw=-w200-h112-p-df-rw,2025-10-24T06:25:31.145867
Southeast Asia: China’s Cyber Incubator and the Looming Day One Threat,https://news.google.com/read/CBMiowFBVV95cUxONVZJNzB0ZGVaZk9vMDdjUGNPTVRrNEw2bnFDclQ1Yl9hNG5lSnZYWnh3TFI5STNKamt4UVNmNEM1Z0pzYkt2STNvZnRCcFFJalZEYTlSWkVvNzhBSTlxbUlUQWVZamFyN00zSXlhRjAxTk1yNDJhMUlMTGVmOFpVcG9nc0VmZmFDejk2M0dXVzl0SklwaFNQRTdXM2pLRFY2X2Fz?hl=en-US&gl=US&ceid=US%3Aen,China Cyber News,17 hours ago,China Cyber,https://news.google.com/api/attachments/CC8iL0NnNUZZWGwyVmxBMGNUaFpZWGRXVFJDUUF4allCQ2dLTWdrRkVKYVdIS21wd3dJ=-w200-h112-p-df-rw,2025-10-24T06:25:31.145869
2024: When China’s Salt Typhoon Made Cyberspace Tidal Waves,https://news.google.com/read/CBMirgFBVV95cUxNbGxfLU1DSGRnX0h6YVJmVlBtRWRZZmUwZkwtM01Md0VKbWk0d3RhWlZFMC1ta1ppaEY1ZzQzTzU1M0tvYTFGam1nODd6cVUzUEtZY1RqSERVVU02MzRSS081UGk0WGxZTXpsNDRpaU1SbndGSG1xb203MDNldHBESnRSTGVmTFE5VlNDNUpRWC1yM3BLVTRwTXE4bTRfUEdiU1JJdGNUR0p3ODlGRVE?hl=en-US&gl=US&ceid=US%3Aen,New Lines Institute,20 hours ago,China Cyber,https://news.google.com/api/attachments/CC8iI0NnNHdhRTUzWWxSR09YUjBiMnN5VFJERUF4aW1CU2dLTWdB=-w200-h112-p-df-rw,2025-10-24T06:25:31.145871
"Daily Digest: AWS outage drives cyber demand, London Club opens in China, Insurance stocks fall",https://news.google.com/read/CBMiywFBVV95cUxObkw3Rlpkb0hWdHg3MzJCdzQwc2Z2T0FzQi0zNWRBTC1kU1o2dV9jZk5mSURfaGV3THZISHFyN0k5RG1vdk1LYnhoV2hMcWFZSEFsZ1R4aEk5OU9zZEthekVudUhmSDFFWldITnRuUXBjc05mSHBhelp4OVRmS0MyRmZtRnl2RlhxRDQ2VC1XSFpCQi1XWGJhd3JCTlpiU1dkaHdyVjQtdTJHNFZwU3V1T2NjN1l0WkNLNF96NXJhNVBFYUstdGFaSzQ5OA?hl=en-US&gl=US&ceid=US%3Aen,Insurance Day,10 hours ago,China Cyber,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.insuranceday.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2025-10-24T06:25:31.145873
Singapore urges cooperation against cyber threats to protect developing nations,https://news.google.com/read/CBMizAFBVV95cUxOSnJTQ3FzZ1BNQ1VmMl9GR3JxNE5xeHh5ejAyenlocGswTjczVzlWbThUOUo0VDh1NXFLM21aNFpSSGh2ejJDX0dJd2V0cWhmZFRGQ2NzY3Z3M2FkQVE2ajBtWjgwU0djSEd1emJSYXdKdU9NTUJUaTRhYktVYVdzVFNaOTFXQ2l0NGdTbEFad1poV3NOY29Kb3pOQkhVVGp4TVFKNXY2Wmc0TWt1U1dtRndxNHNKZTU1TmtwRDIxZkdCVm9mMHAweTBTc2LSAcwBQVVfeXFMTTMycEltRHdHa0c1Q3dqRExSUW13Q0xMZFBEbmdKaV9XRzVNZXdTdWprZW0wdjF0djJaTlBfbThlZVJfSkdFZkdmVFExUl95ck53THd1RUZLVVh0UVZKLXJPYTNrZVRkNTF4S09Db3piZ0RyWVJmYnBhN0xhUFpiQXdyUVlyVTkycDdaVFpCbWtiNVA5NmMtdVBpSm1Nd1ExR2oxQ0hBcG5neS1tb1IzYUsyZHIyVWloaFFtX1ZHYkVvcjNzOG9tWmFvVVB5?hl=en-US&gl=US&ceid=US%3Aen,South China Morning Post,21 hours ago,China Cyber,https://news.google.com/api/attachments/CC8iK0NnNDFlVzFuY2w5blZrZEVMVzF5VFJDUUF4aThCU2dLTWdZZFJaVFBJUW8=-w200-h112-p-df-rw,2025-10-24T06:25:31.145874
Rising to the Challenge: A Coordinated Approach to Southeast Asia’s Online Scamming Problem,https://news.google.com/read/CBMivwFBVV95cUxOTGNyMnpUNTZEdDYxQXFXUzBtVC01eWp6WXhJcEEyWndON2llM2l2WXQzcURudDdnWEtaMm1YcjZ0TFFVbjlkOEIwUFNmM21LcHViSlFKUHRtT1N4ZnhyTW1WRW56WU1xM05NMkdwaWZ0SmRCX0cxWXpySVB1MDh3LVo4cnhFMTBjWTlHRFNGMm41d0VsRU1UTmVCSzI3Q1o3MWlJR0NPOUV0azlEN1N1MXVMUnJZVWV1dS1qc05WQQ?hl=en-US&gl=US&ceid=US%3Aen,China Cyber News,4 hours ago,China Cyber,https://news.google.com/api/attachments/CC8iK0NnNHdZbTFMTVZCVE5rcFJMVXd5VFJDUEF4allCQ2dLTWdZQmdJcHN5UVE=-w200-h112-p-df-rw,2025-10-24T06:25:31.145876
China plans to revise Cybersecurity Law to address challenges imposed by AI,https://news.google.com/read/CBMiWEFVX3lxTE9ua01GOEFCSURrYlp5b3NPTXhMakZSaWNlay04anJJWjJWbENwYkRQWS1TamJhM2o0dlcycUh4bmJUXzFSV2RnUkZYeTNtYWRVMkJyOXdxWFQ?hl=en-US&gl=US&ceid=US%3Aen,chinadailyasia.com,20 hours ago,China Cyber,https://news.google.com/api/attachments/CC8iK0NnNXdjbG94ZGpKUmRuUkxVVU5uVFJDekFSaVpBaWdCTWdZQmtJaW52QVE=-w200-h112-p-df-rw,2025-10-24T06:25:31.145878
